Sample	0	1	2	3	4	5	6	7	8	9
ERR6913107.flash	(88, 0.14285714285714285)	(93, 0.14285714285714285)	(143, 0.14285714285714285)	(157, 0.14285714285714285)	(167, 0.14285714285714285)	(175, 0.14285714285714285)	(238, 0.14285714285714285)			
ERR6913109.flash	(99, 0.14285714285714285)	(101, 0.14285714285714285)	(113, 0.14285714285714285)	(120, 0.14285714285714285)	(123, 0.14285714285714285)	(200, 0.14285714285714285)	(237, 0.14285714285714285)			
ERR6913203.flash	(97, 0.14285714285714285)	(104, 0.2857142857142857)	(113, 0.14285714285714285)	(134, 0.14285714285714285)	(162, 0.14285714285714285)	(279, 0.14285714285714285)				
ERR6913205.flash	(125, 0.1)	(126, 0.1)	(128, 0.1)	(144, 0.1)	(147, 0.1)	(167, 0.1)	(175, 0.1)	(233, 0.1)	(247, 0.1)	(255, 0.1)
ERR6913302.flash	(66, 0.16666666666666666)	(118, 0.16666666666666666)	(130, 0.16666666666666666)	(150, 0.16666666666666666)	(207, 0.16666666666666666)	(246, 0.16666666666666666)				
ERR6913304.flash	(74, 0.125)	(76, 0.125)	(99, 0.125)	(138, 0.125)	(150, 0.125)	(200, 0.125)	(225, 0.125)	(245, 0.125)		
ERR6913331.flash	(61, 0.1)	(66, 0.1)	(79, 0.1)	(106, 0.1)	(109, 0.1)	(142, 0.1)	(169, 0.1)	(184, 0.1)	(216, 0.1)	(261, 0.1)
ERR6913333.flash	(78, 0.1)	(97, 0.1)	(98, 0.1)	(114, 0.1)	(123, 0.1)	(136, 0.1)	(154, 0.1)	(215, 0.1)	(233, 0.1)	(263, 0.1)
